trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.3, 'e': 0.855}",25,0,-146.24720940562662,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.854}",30,0,-133.13408178933193,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.3, 'e': 0.853}",25,0,-110.77166240341192,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.852}",20,0,-44.918171181485576,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.851}",35,0,-76.19385701457661,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.85}",25,14,-62.251285166894604,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
51,False,"{'a': 0.3, 'e': 0.849}",20,0,-87.76685963322498,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.848}",20,0,-5.94736863718626,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.847}",20,0,-135.86897248420814,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.3, 'e': 0.846}",20,0,-131.32434658579996,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.3, 'e': 0.845}",25,0,-254.15982762357612,"{0: 13, 1: 1, 2: 4, 3: 3, 4: 4}",0
56,False,"{'a': 0.3, 'e': 0.844}",35,0,-133.69249148529576,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.843}",20,0,-65.43041402860028,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.842}",25,0,-118.6712286498018,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.3, 'e': 0.841}",20,0,-35.79823046024005,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.3, 'e': 0.84}",20,0,-117.25386218521926,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.3, 'e': 0.839}",20,0,-45.77455357664928,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.838}",30,2,-55.151667174479705,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 1}",1
63,False,"{'a': 0.3, 'e': 0.837}",25,0,-156.04138089907107,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.3, 'e': 0.836}",25,0,-132.77507074866045,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
65,False,"{'a': 0.3, 'e': 0.835}",30,0,-82.7144889666594,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
